Vessel,Task,Wharf,Time
V19,F11 - Blackwattle Bay,BWB1,06:40-06:45
V19,F11 - Blackwattle Bay,BWB1,06:45-06:50
V19,F11 - Blackwattle Bay,BWB1,06:50-06:55
V18,F11 - Blackwattle Bay,BWB1,07:10-07:15
V18,F11 - Blackwattle Bay,BWB1,07:15-07:20
V18,F11 - Blackwattle Bay,BWB1,07:20-07:25
V19,F11 - Blackwattle Bay,BWB1,07:40-07:45
V19,F11 - Blackwattle Bay,BWB1,07:45-07:50
V19,F11 - Blackwattle Bay,BWB1,07:50-07:55
V18,F11 - Blackwattle Bay,BWB1,08:10-08:15
V18,F11 - Blackwattle Bay,BWB1,08:15-08:20
V18,F11 - Blackwattle Bay,BWB1,08:20-08:25
V19,F11 - Blackwattle Bay,BWB1,08:40-08:45
V19,F11 - Blackwattle Bay,BWB1,08:45-08:50
V19,F11 - Blackwattle Bay,BWB1,08:50-08:55
V18,F11 - Blackwattle Bay,BWB1,09:10-09:15
V18,F11 - Blackwattle Bay,BWB1,09:15-09:20
V18,F11 - Blackwattle Bay,BWB1,09:20-09:25
V19,F11 - Blackwattle Bay,BWB1,09:40-09:45
V19,F11 - Blackwattle Bay,BWB1,09:45-09:50
V19,F11 - Blackwattle Bay,BWB1,09:50-09:55
