Variable,Value
"(1, 'Mos1', 1)",0.0
"(1, 'Mos1', 2)",1.0
"(1, 'Mos1', 3)",0.0
"(1, 'Mos1', 4)",1.0
"(1, 'Mos1', 5)",1.0
"(1, 'Mos1', 6)",0.0
"(1, 'Mos1', 7)",0.0
"(1, 'Mos1', 8)",0.0
"(1, 'Mos1', 9)",0.0
"(1, 'Mos1', 10)",0.0
"(1, 'Mos1', 11)",0.0
"(1, 'Mos1', 12)",0.0
"(1, 'Mos1', 13)",0.0
"(1, 'Mos1', 14)",0.0
"(1, 'Mos1', 15)",0.0
"(1, 'Mos1', 16)",0.0
"(1, 'Mos1', 17)",0.0
"(1, 'Mos1', 18)",0.0
"(1, 'Mos1', 19)",0.0
"(1, 'Mos1', 20)",1.0
"(1, 'Mos1', 21)",1.0
"(1, 'Mos1', 22)",0.0
"(1, 'Mos1', 23)",0.0
"(1, 'Mos1', 24)",0.0
"(1, 'Mos1', 25)",0.0
"(1, 'Mos1', 26)",0.0
"(1, 'Mos1', 27)",0.0
"(1, 'Mos1', 28)",0.0
"(1, 'Mos1', 29)",1.0
"(1, 'Mos1', 30)",1.0
"(1, 'Mos1', 31)",0.0
"(1, 'Mos1', 32)",0.0
"(1, 'Mos1', 33)",0.0
"(1, 'Mos1', 34)",0.0
"(1, 'Mos1', 35)",0.0
"(1, 'Mos1', 36)",0.0
"(1, 'Mos1', 37)",0.0
"(1, 'Mos1', 38)",1.0
"(1, 'Mos1', 39)",1.0
"(1, 'Mos1', 40)",0.0
"(1, 'Mos1', 41)",0.0
"(1, 'Mos1', 42)",0.0
"(1, 'Mos1', 43)",0.0
"(1, 'Mos1', 44)",0.0
"(1, 'Mos1', 45)",0.0
"(1, 'Mos1', 46)",0.0
"(1, 'Mos1', 47)",0.0
"(1, 'Mos1', 48)",0.0
"(1, 'Mos1', 49)",0.0
"(1, 'Mos1', 50)",0.0
"(1, 'Mos1', 51)",0.0
"(1, 'Mos1', 52)",0.0
"(1, 'Mos1', 53)",0.0
"(1, 'Mos1', 54)",0.0
"(1, 'Mos1', 55)",0.0
"(1, 'Mos1', 56)",0.0
"(1, 'Mos1', 57)",0.0
"(1, 'Mos1', 58)",0.0
"(1, 'Mos1', 59)",0.0
